u,v,label,score,model,group,case
A000305,A000370,1,0.35970627185801046,Node2Vec+LR(Hadamard),Embedding,case1
A000048,A000125,1,0.7064800176459362,Node2Vec+LR(Hadamard),Embedding,case1
A000010,A000550,1,0.4943658840687898,Node2Vec+LR(Hadamard),Embedding,case1
A000386,A000516,1,0.990654339170056,Node2Vec+LR(Hadamard),Embedding,case1
A000121,A000191,1,0.9505970095880357,Node2Vec+LR(Hadamard),Embedding,case1
A000108,A000513,1,0.9909180967713926,Node2Vec+LR(Hadamard),Embedding,case1
A000099,A000161,1,0.050446724902808486,Node2Vec+LR(Hadamard),Embedding,case1
A000059,A000233,1,0.9989749065814306,Node2Vec+LR(Hadamard),Embedding,case1
A000382,A000545,1,0.9768939450975155,Node2Vec+LR(Hadamard),Embedding,case1
A000045,A000179,1,0.9188001155221891,Node2Vec+LR(Hadamard),Embedding,case1
A000335,A000529,1,0.9476972235573333,Node2Vec+LR(Hadamard),Embedding,case1
A000385,A000513,1,0.14285897136885153,Node2Vec+LR(Hadamard),Embedding,case1
A000249,A000465,1,0.9535474845760403,Node2Vec+LR(Hadamard),Embedding,case1
A000038,A000434,1,0.9939505597945748,Node2Vec+LR(Hadamard),Embedding,case1
A000272,A000512,1,0.9227734610775031,Node2Vec+LR(Hadamard),Embedding,case1
A000181,A000459,1,0.9930274499772849,Node2Vec+LR(Hadamard),Embedding,case1
A000013,A000038,1,0.9994975265710673,Node2Vec+LR(Hadamard),Embedding,case1
A000012,A000170,1,0.88398925665328,Node2Vec+LR(Hadamard),Embedding,case1
A000042,A000118,1,0.9999502837344275,Node2Vec+LR(Hadamard),Embedding,case1
A000096,A000255,1,0.06169339743646557,Node2Vec+LR(Hadamard),Embedding,case1
A000102,A000476,1,0.9989717940855648,Node2Vec+LR(Hadamard),Embedding,case1
A000223,A000515,1,0.9864673727851491,Node2Vec+LR(Hadamard),Embedding,case1
A000274,A000556,1,0.49601254588799804,Node2Vec+LR(Hadamard),Embedding,case1
A000011,A000257,1,0.1731090952721715,Node2Vec+LR(Hadamard),Embedding,case1
A000256,A000274,1,0.2056727642091899,Node2Vec+LR(Hadamard),Embedding,case1
A000089,A000138,1,0.9454518361448028,Node2Vec+LR(Hadamard),Embedding,case1
A000373,A000407,1,0.01821036449421081,Node2Vec+LR(Hadamard),Embedding,case1
A000313,A000322,1,0.9999928261149832,Node2Vec+LR(Hadamard),Embedding,case1
A000356,A000560,1,0.9364493650166966,Node2Vec+LR(Hadamard),Embedding,case1
A000249,A000463,1,0.932791912804743,Node2Vec+LR(Hadamard),Embedding,case1
A000181,A000219,1,0.9792109312080796,Node2Vec+LR(Hadamard),Embedding,case1
A000097,A000124,1,0.8161625433361435,Node2Vec+LR(Hadamard),Embedding,case1
A000190,A000530,1,0.8097182789169297,Node2Vec+LR(Hadamard),Embedding,case1
A000272,A000403,1,0.5204155526069673,Node2Vec+LR(Hadamard),Embedding,case1
A000122,A000256,1,0.9302903263075443,Node2Vec+LR(Hadamard),Embedding,case1
A000477,A000569,1,0.7604761723737884,Node2Vec+LR(Hadamard),Embedding,case1
A000004,A000383,1,0.7907441618261094,Node2Vec+LR(Hadamard),Embedding,case1
A000404,A000432,1,0.8453326129089491,Node2Vec+LR(Hadamard),Embedding,case1
A000474,A000518,1,0.9947598356374866,Node2Vec+LR(Hadamard),Embedding,case1
A000067,A000161,1,0.9998318610236503,Node2Vec+LR(Hadamard),Embedding,case1
A000354,A000481,1,0.8865894891128736,Node2Vec+LR(Hadamard),Embedding,case1
A000181,A000493,1,0.846993542180626,Node2Vec+LR(Hadamard),Embedding,case1
A000143,A000436,1,0.9567008083868829,Node2Vec+LR(Hadamard),Embedding,case1
A000122,A000217,1,0.9966089322082132,Node2Vec+LR(Hadamard),Embedding,case1
A000065,A000378,1,0.20440757884588684,Node2Vec+LR(Hadamard),Embedding,case1
A000095,A000197,1,0.8848268037953235,Node2Vec+LR(Hadamard),Embedding,case1
A000412,A000527,1,0.8144501462436914,Node2Vec+LR(Hadamard),Embedding,case1
A000143,A000233,1,0.3682403985468986,Node2Vec+LR(Hadamard),Embedding,case1
A000045,A000137,1,0.9880921258928632,Node2Vec+LR(Hadamard),Embedding,case1
A000041,A000329,1,0.99985382432467,Node2Vec+LR(Hadamard),Embedding,case1
A000169,A000274,1,0.8454460051021027,Node2Vec+LR(Hadamard),Embedding,case1
A000043,A000443,1,0.9978945852905793,Node2Vec+LR(Hadamard),Embedding,case1
A000158,A000276,1,0.8607021449383724,Node2Vec+LR(Hadamard),Embedding,case1
A000145,A000285,1,0.999780376480565,Node2Vec+LR(Hadamard),Embedding,case1
A000276,A000426,1,0.9576869137162008,Node2Vec+LR(Hadamard),Embedding,case1
A000114,A000514,1,0.22210614816126578,Node2Vec+LR(Hadamard),Embedding,case1
A000475,A000481,1,0.5770849852838088,Node2Vec+LR(Hadamard),Embedding,case1
A000019,A000105,1,0.905639395691021,Node2Vec+LR(Hadamard),Embedding,case1
A000380,A000547,1,0.9943429193263672,Node2Vec+LR(Hadamard),Embedding,case1
A000193,A000479,1,0.9935734160413172,Node2Vec+LR(Hadamard),Embedding,case1
A000245,A000351,1,0.989519320637593,Node2Vec+LR(Hadamard),Embedding,case1
A000054,A000280,1,0.994872636015218,Node2Vec+LR(Hadamard),Embedding,case1
A000168,A000332,1,0.7473577180353512,Node2Vec+LR(Hadamard),Embedding,case1
A000034,A000137,1,0.984564620082905,Node2Vec+LR(Hadamard),Embedding,case1
